n	allocate	freeUp	freeDown	freeScattered
555	3654.72	1038.42	3837.59	1299.51
556	3794	1085.23	3775.66	1278.74
557	3658.18	1043.11	3715.82	1334.18
558	3691.83	1089.07	3724.95	1279.68
559	3571.92	1027.89	3945.51	1292.58
560	3886.7	1136.45	3634.45	1308.11
561	3884.82	1122.89	3650.23	1281.44
562	3522.1	1008.51	3694.94	1286.81
563	3648.74	1035.02	3800.58	1361.82
564	3926.61	1148.48	3751.81	1278.82
565	3791.21	1075.22	3877.64	1317.78
566	3723.8	1063.83	3685.79	1314.6
567	3804.09	1095.43	3810.95	1274.26
568	3833.98	1099.32	3670.71	1293.53
569	3824.17	1085.27	4033.23	1395.16
570	3829.24	1095.99	3889.44	1375.11
571	3820.29	1091.37	4014.5	1413.01
572	3935.49	1137.04	4169.58	1361.36
573	3993.79	1150.74	4004.08	1379.98
574	3980.11	1152.36	3890.11	1414.12
575	3907.35	1114.1	3798.31	1444.54
576	3908.54	1123.72	3999.89	1409.86
577	3961.38	1149.62	3837.5	1433.3
578	3835.17	1084.55	3938.79	1388.96
579	3804.65	1082.74	4059.43	1385.59
580	3937.63	1132.51	3847.56	1373.52
581	3816.96	1093.04	3876.79	1412.53
582	3925.44	1129.38	3831.99	1427
583	3888.38	1132.1	3871.23	1399.82
584	3713.15	1061.72	3806.79	1410.58
585	4044.63	1118.85	3934.5	1324.14
586	4024.79	1128.43	3898.88	1337.96
587	4104.95	1169.5	3923.14	1333.78
588	3972.03	1085.73	3865.41	1354.35
589	4009.85	1121.41	3959.55	1438.06
590	4061.26	1133.65	3889.99	1344.32
591	4010.2	1131.76	3980.38	1348.29
592	3928.39	1066.95	3888.88	1342.71
593	4000.58	1141.45	3909.37	1338.38
594	3989.39	1124.99	3931.48	1347.1
595	3985.1	1077.54	3839.84	1331.81
596	4101.4	1166.19	3765.07	1433.69
597	4018.27	1138.42	3985.36	1410.68
598	4016.95	1093.6	3863.83	1440.34
599	4132.05	1182.62	3827.58	1421.59
600	4122.17	1174.99	3884.92	1332.7
601	4223.03	1178.53	3997.87	1416.71
602	4078.54	1150.04	3993.77	1417.36
603	4156.38	1159.28	3968.32	1427.12
604	4018.18	1126.38	3679.48	1514.16
605	4218.37	1194.8	3980.92	1414.79
606	4172.47	1135.37	3993.04	1403.15
607	4186.38	1179.79	3936.38	1416.68
608	4126.95	1139.99	4086.16	1461
609	4255.52	1206.05	3964.45	1502.49
610	4231.05	1202.31	4081.28	1471.79
611	4179.85	1169.22	4016	1425.12
612	4185.08	1180.67	3906.87	1402.71
613	4195.43	1164.73	3999.18	1407.47
614	4198.38	1149	3951.14	1406.97
615	4230.12	1187.53	3942.11	1409.45
616	4230.41	1210.72	3949.32	1430.6
617	4278.4	1151.49	3997.41	1546.05
618	4345.7	1251.38	3973.01	1452.7
619	4268.24	1193.34	4052.46	1464.5
620	4318.73	1233.13	4007.88	1452.34
621	4047.23	1098.14	3982.62	1440.19
622	4295.58	1269.5	4034.23	1444.93
623	4311.26	1232.92	4069.52	1470.52
624	4311.81	1246.49	4051.33	1527.33
625	4294.9	1150.48	4048.89	1460.68
626	4254.27	1164.81	4058.95	1499.66
627	4371.33	1266.42	3950.17	1538.1
628	4263.33	1225.88	4009.51	1524.2
629	4243.95	1146.41	3924.18	1529.07
630	4324.69	1237.18	3984.93	1540.92
631	4337.66	1257.52	3943.02	1453.74
632	4127.52	1160.97	3977.91	1450.81
633	4381.41	1215.39	4090.12	1531.07
634	4374.36	1146.53	4090.12	1539.52
635	4400.02	1215.39	4116.52	1473.38
636	4464.73	1258.29	4110.85	1573.29
637	4367.99	1205.91	4201.49	1566.71
638	4454.04	1248.77	4030.4	1551.33
639	4002.78	1078.46	4111.99	1468.07
640	4355.74	1129.55	4112.57	1472.79
641	4364.2	1185.23	4136.57	1554.1
642	4394.6	1143.12	4076.48	1502.34
643	4391.66	1188.44	4080.16	1600.2
644	4198.5	1156.21	4030.55	1523.18
645	4426.88	1246.54	4101.24	1515.17
646	4397.95	1184.67	4283.59	1580.14
647	4374.17	1168.97	4174.8	1564.06
648	4355.44	1181.95	4300.49	1477.15
649	4483.69	1171.65	4590.83	1448.64
650	4552.88	1273.05	4272.64	1564.2
651	4578.18	1276.57	4210.63	1526.83
652	4535.28	1277.49	4269.3	1548.08
653	4571.85	1282.15	4524.54	1561.62
654	4552.06	1301.64	4340.37	1535.65
655	4502.53	1178.22	4579.7	1450.96
656	4496.89	1166.14	4432.35	1454.48
657	4525.7	1230.07	4488.97	1555.19
658	4585.9	1281.37	4223.89	1444.95
659	4567.15	1268.22	4275.84	1430.88
660	4572.63	1270.23	4354.74	1439.42
661	4464.84	1224.99	4280.65	1444.39
662	4510.83	1233.63	4478.49	1459.98
663	4564.42	1278.39	4284.42	1443.64
664	4560.45	1286.98	4180.1	1438.41
665	4431.79	1236.78	4198.56	1521.73
666	4618.89	1283.41	4290.99	1523.03
667	4575.34	1178.68	4238.53	1514.8
668	4564.19	1183.58	4260.88	1579.41
669	4643.46	1276.84	4242.24	1620.02
670	4614.02	1260.49	4349.09	1604.33
671	4565.34	1183.45	4290.63	1617.55
672	4547.47	1177.5	4252.29	1594.12
673	4583.15	1202.88	4298.31	1547.58
674	4616.39	1292.92	4235.6	1522.32
675	4583.88	1259.59	4348.15	1616.72
676	4604.45	1175.34	4258.12	1623.76
677	4669.49	1306.48	4328.29	1516.08
678	4597.84	1267.01	4275.59	1512.4
679	4573.92	1213.49	4282.06	1507.95
680	4604.22	1279.98	4300.66	1655.17
681	4698.43	1270.39	4258.84	1559.66
682	4729.14	1295.08	4444.37	1607.81
683	4674.96	1202.58	4281.12	1626.73
684	4700.3	1275.54	4602.36	1625.07
685	4711.78	1298.46	4463.4	1626.36
686	4680.34	1208.86	4433.03	1616.91
687	4530.33	1259.27	4445.84	1571.99
